id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Broken Streetlights,Urban Verse,hip-hop,melancholic,0.62,88,0.32,0.71,0.15
12,Morning Sonata,Clara Voss,classical,peaceful,0.22,68,0.72,0.28,0.97
13,Golden Hour,Velvet Echo,r&b,romantic,0.58,96,0.78,0.74,0.42
14,Shattered Glass,Iron Threshold,metal,angry,0.97,168,0.22,0.55,0.04
15,Old Dirt Road,River & Pine,folk,nostalgic,0.44,84,0.66,0.48,0.91
16,Pulse Horizon,AXIOM,edm,euphoric,0.94,138,0.91,0.93,0.03
17,Empty Chairs,Delilah Moon,soul,sad,0.48,74,0.28,0.45,0.68
18,Wide Open Sky,Dusty Ridgeway,country,uplifting,0.65,104,0.85,0.69,0.76
19,Coral Tide,Sunkissed Roots,reggae,dreamy,0.52,82,0.73,0.76,0.55
20,Neon Basement,The Groove Syndicate,funk,dark,0.71,108,0.38,0.85,0.20
